,id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,resVarA,resVarB,AGI,Description,Nitrate induced,Nitrate repressed,Present in ATH1?,,
40,protein_coding_gene|-|AT1G01490,101.000747,59.45023816,142.5512559,2.397824808,1.261726255,5.84E-07,5.92E-05,1.506319598,0.203368266,AT1G01490,Heavy metal transport/detoxification superfamily protein ,1,0,1,,
86,protein_coding_gene|-|AT1G02030,5.279384481,1.101714921,9.457054041,8.583939332,3.10163988,0.000122425,0.006709908,0.086736114,0.394618436,AT1G02030,C2H2-like zinc finger protein,1,0,0,,
175,protein_coding_gene|+|AT1G03220,200.6812985,124.2416823,277.1209147,2.230498732,1.157366328,3.39E-06,0.000292942,1.742343073,7.368075438,AT1G03220,Eukaryotic aspartyl protease family protein,1,0,0,,
223,protein_coding_gene|-|AT1G03850,22.34765538,10.32243636,34.3728744,3.32991875,1.735486976,1.20E-05,0.000871789,1.35090082,1.05728344,AT1G03850,Glutaredoxin family protein,1,0,1,,
296,protein_coding_gene|-|AT1G04770,40.53136054,25.1777843,55.88493678,2.219612977,1.150308143,0.000141145,0.007496183,0.217253265,2.43614398,AT1G04770,Tetratricopeptide repeat (TPR)-like superfamily protein,1,0,1,,
492,protein_coding_gene|-|AT1G07150,23.43873311,3.305144762,43.57232145,13.18318095,3.720626613,1.05E-14,2.90E-12,0.123000824,6.9599759,AT1G07150,"MAPKKK13, mitogen-activated protein kinase kinase kinase 13",1,0,1,,
513,protein_coding_gene|+|AT1G07400,74.80254278,42.08166379,107.5234218,2.55511337,1.353387305,3.89E-07,4.05E-05,2.690457937,9.65623196,AT1G07400,HSP20-like chaperones superfamily protein,1,0,0,,
527,protein_coding_gene|+|AT1G07610,300.3870411,178.6548013,422.1192809,2.362764828,1.240476042,7.17E-08,8.67E-06,0.095432817,0.768581515,AT1G07610,"MT1C, metallothionein 1C",1,0,1,,
572,protein_coding_gene|+|AT1G08090,672.6755631,67.34703811,1278.004088,18.97639635,4.246134143,1.72E-64,8.10E-61,0.445100793,10.86362295,AT1G08090,"ACH1, ATNRT2.1, ATNRT2:1, LIN1, NRT2, NRT2.1, NRT2:1, NRT2;1AT, nitrate transporter 2:1",1,0,1,,
573,protein_coding_gene|-|AT1G08100,38.20703255,3.259922309,73.15414279,22.44045589,4.48803008,3.61E-25,2.20E-22,0.196786313,0.491498777,AT1G08100,"ACH2, ATNRT2.2, NRT2.2, NRT2;2AT, nitrate transporter 2.2",1,0,1,,
602,protein_coding_gene|+|AT1G08430,34.43956999,22.39607804,46.48306195,2.075500088,1.053458993,0.001292933,0.048607033,0.000770198,0.001324947,AT1G08430,"ALMT1, ATALMT1, aluminum-activated malate transporter 1",1,0,1,,
623,protein_coding_gene|+|AT1G08650,40.86404951,19.56914932,62.15894969,3.176374643,1.667381083,2.95E-07,3.16E-05,0.480725359,0.016009239,AT1G08650,"ATPPCK1, PPCK1, phosphoenolpyruvate carboxylase kinase 1",1,0,1,,
714,protein_coding_gene|+|AT1G09740,38.93795449,24.86122713,53.01468184,2.132424178,1.092494445,0.00066138,0.027834058,0.220627002,0.001371711,AT1G09740,Adenine nucleotide alpha hydrolases-like superfamily protein,1,0,1,,
718,protein_coding_gene|-|AT1G09780,337.0434192,223.0371004,451.049738,2.022308114,1.01600282,1.41E-05,0.001003903,0.806820707,1.309558539,AT1G09780,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",1,0,1,,
744,protein_coding_gene|-|AT1G10090,9.536984104,15.87623342,3.197734787,0.201416463,-2.311746484,0.000428341,0.019092873,0.811359397,0.017753152,AT1G10090,Early-responsive to dehydration stress protein (ERD4),0,1,1,,
872,protein_coding_gene|+|AT1G11655,8.031105001,0.794773218,15.26743678,19.2098028,4.263770804,2.95E-08,3.81E-06,0.568329835,0.250009151,AT1G11655,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G21902.1); Has 22 Blast hits to 22 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,0,,
911,protein_coding_gene|+|AT1G12110,378.8694044,129.0623046,628.6765043,4.871108619,2.284250154,5.19E-22,2.80E-19,1.705284682,13.17396549,AT1G12110,"ATNRT1, B-1, CHL1, CHL1-1, NRT1, NRT1.1, nitrate transporter 1.1",1,0,1,,
948,protein_coding_gene|+|AT1G12580,45.53369054,25.79166771,65.27571337,2.530883776,1.339641257,2.45E-05,0.00161789,0.005286292,1.354541065,AT1G12580,"PEPKR1, phosphoenolpyruvate carboxylase-related kinase 1",1,0,1,,
967,protein_coding_gene|-|AT1G12820,64.39505483,39.10269166,89.687418,2.293637962,1.197637688,3.08E-05,0.002008584,0.04917372,0.699844101,AT1G12820,"AFB3, auxin signaling F-box 3",1,0,1,,
990,protein_coding_gene|+|AT1G13110,56.32582563,80.98708959,31.66456167,0.390982832,-1.354822833,2.34E-05,0.001551845,0.005947607,5.37E-05,AT1G13110,"CYP71B7, cytochrome P450, family 71 subfamily B, polypeptide 7",0,1,1,,
993,protein_coding_gene|+|AT1G13160,30.35002004,17.72749911,42.97254097,2.424061099,1.277426063,0.000219454,0.011152537,0.41631178,0.144120044,AT1G13160,ARM repeat superfamily protein,1,0,1,,
1000,protein_coding_gene|-|AT1G13245,51.82563787,20.23787065,83.41340509,4.121649285,2.04322175,2.88E-11,5.54E-09,0.040732838,0.202033237,AT1G13245,"DVL4, RTFL17, ROTUNDIFOLIA like 17",1,0,0,,
1005,protein_coding_gene|+|AT1G13300,72.65781328,7.540730102,137.7748965,18.27076352,4.191465019,4.30E-35,3.86E-32,0.030538687,0.447074943,AT1G13300,"HRS1, myb-like transcription factor family protein",1,0,1,,
1013,protein_coding_gene|+|AT1G13420,48.04149487,26.9029981,69.17999165,2.571460303,1.362587882,5.31E-06,0.000435055,1.086388701,0.258245053,AT1G13420,"ATST4B, ST4B, sulfotransferase 4B",1,0,1,,
1014,protein_coding_gene|+|AT1G13430,8.30673958,2.203429842,14.41004932,6.539826704,2.709252407,1.72E-05,0.001188876,0.171357632,0.937802377,AT1G13430,"ATST4C, ST4C, sulfotransferase 4C",1,0,0,,
1015,protein_coding_gene|-|AT1G13440,3763.259045,1867.959829,5658.55826,3.029271922,1.598971087,9.48E-09,1.33E-06,0.465680164,0.021229853,AT1G13440,"GAPC-2, GAPC2, glyceraldehyde-3-phosphate dehydrogenase C2",1,0,1,,
1040,protein_coding_gene|+|AT1G13740,31.782154,20.02137385,43.54293414,2.17482249,1.120897653,0.000394502,0.01796606,0.630967579,3.586723702,AT1G13740,"AFP2, ABI five binding protein 2",1,0,1,,
1089,protein_coding_gene|+|AT1G14340,37.50721274,15.8213955,59.19302999,3.741328,1.903550452,2.94E-08,3.81E-06,0.656329575,1.017181967,AT1G14340,RNA-binding (RRM/RBD/RNP motifs) family protein,1,0,1,,
1122,protein_coding_gene|-|AT1G14720,22.74569516,12.69714055,32.79424978,2.58280592,1.368939239,0.000381111,0.017482898,2.70E-05,0.436356154,AT1G14720,"ATXTH28, EXGT-A2, XTH28, XTR2, xyloglucan endotransglucosylase/hydrolase 28",1,0,1,,
1227,protein_coding_gene|-|AT1G16030,130.08873,78.37380278,181.8036573,2.319699323,1.213937817,4.63E-07,4.77E-05,7.554857955,18.47627035,AT1G16030,"Hsp70b, heat shock protein 70B",1,0,1,,
1238,protein_coding_gene|-|AT1G16170,10.34790372,3.305144762,17.39066268,5.261694699,2.395527541,4.49E-05,0.002791238,0.256391737,1.33226627,AT1G16170,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G79660.1); Has 55 Blast hits to 55 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 55; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,1,,
1242,protein_coding_gene|+|AT1G16220,7.500348219,1.76082078,13.23987566,7.519150053,2.910569592,1.65E-05,0.001151411,1.744018091,0.545067429,AT1G16220,Protein phosphatase 2C family protein,1,0,1,,
1310,protein_coding_gene|-|AT1G17060,28.46597343,16.21878211,40.71316476,2.510247964,1.327829881,0.000184476,0.009503021,0.656338468,0.564534673,AT1G17060,"CYP72C1, SOB7, cytochrome p450 72c1",1,0,1,,
1466,protein_coding_gene|-|AT1G19050,10.94453743,4.145140433,17.74393442,4.280659415,2.097833054,6.39E-05,0.003827224,0.096328042,0.441653853,AT1G19050,"ARR7, response regulator 7",1,0,1,,
1577,protein_coding_gene|+|AT1G20620,125.5882881,168.4844083,82.69216794,0.490800121,-1.026792491,0.000165441,0.008616668,0.497946532,0.108776915,AT1G20620,"ATCAT3, CAT3, SEN2, catalase 3",0,1,1,,
1607,protein_coding_gene|+|AT1G21000,81.8996683,40.77306754,123.0262691,3.017341507,1.593277992,1.06E-08,1.49E-06,0.301362525,1.692808192,AT1G21000,PLATZ transcription factor family protein,1,0,1,,
1690,protein_coding_gene|+|AT1G22170,28.83595569,9.039831631,48.63207974,5.379755036,2.427540482,3.90E-11,7.21E-09,0.123873887,3.734658806,AT1G22170,Phosphoglycerate mutase family protein,1,0,1,,
1708,protein_coding_gene|+|AT1G22500,56.48756395,16.93272589,96.04240202,5.671998865,2.503857244,1.94E-15,5.81E-13,0.12045495,1.548116247,AT1G22500,RING/U-box superfamily protein,1,0,1,,
1720,protein_coding_gene|-|AT1G22650,18.38770462,3.259922309,33.51548693,10.28106922,3.361918407,1.45E-11,2.86E-09,0.543259891,0.602676438,AT1G22650,Plant neutral invertase family protein,1,0,1,,
1738,protein_coding_gene|+|AT1G22882,37.29714235,18.34138251,56.25290218,3.066993567,1.616825141,7.29E-07,7.20E-05,0.0215574,0.349535726,AT1G22882,Galactose-binding protein,1,0,0,,
